Sep 04 17:54:32.304 INFO COLECO_CV: dats\COLECO_CV\Coleco ColecoVision - Demos (TOSEC-v2015-05-07_CM).dat, path: dats\COLECO_CV\Coleco ColecoVision - Demos (TOSEC-v2015-05-07_CM).dat, platform_id: COLECO_CV
Sep 04 17:54:32.309 INFO COLECO_CV: dats\COLECO_CV\Coleco ColecoVision - Educational (TOSEC-v2015-05-07_CM).dat, path: dats\COLECO_CV\Coleco ColecoVision - Educational (TOSEC-v2015-05-07_CM).dat, platform_id: COLECO_CV
Sep 04 17:54:32.311 INFO COLECO_CV: dats\COLECO_CV\Coleco ColecoVision - Firmware (TOSEC-v2015-05-07_CM).dat, path: dats\COLECO_CV\Coleco ColecoVision - Firmware (TOSEC-v2015-05-07_CM).dat, platform_id: COLECO_CV
Sep 04 17:54:32.339 INFO COLECO_CV: dats\COLECO_CV\Coleco ColecoVision - Games (TOSEC-v2025-01-15_CM).dat, path: dats\COLECO_CV\Coleco ColecoVision - Games (TOSEC-v2025-01-15_CM).dat, platform_id: COLECO_CV
Sep 04 17:54:32.415 INFO COLECO_CV: dats\COLECO_CV\OpenCol.dat, path: dats\COLECO_CV\OpenCol.dat, platform_id: COLECO_CV
Sep 04 17:54:32.438 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Applications - [BIN] (TOSEC-v2018-07-01_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Applications - [BIN] (TOSEC-v2018-07-01_CM).dat, platform_id: FUJITSU_FMT
Sep 04 17:54:32.439 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Applications - [D88] (TOSEC-v2011-02-07_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Applications - [D88] (TOSEC-v2011-02-07_CM).dat, platform_id: FUJITSU_FMT
Sep 04 17:54:32.440 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Applications - [HDM] (TOSEC-v2018-07-01_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Applications - [HDM] (TOSEC-v2018-07-01_CM).dat, platform_id: FUJITSU_FMT
Sep 04 17:54:32.440 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - CD - Compilations (TOSEC-v2012-07-13_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - CD - Compilations (TOSEC-v2012-07-13_CM).dat, platform_id: FUJITSU_FMT
Sep 04 17:54:32.441 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - CD - Games (TOSEC-v2012-07-13_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - CD - Games (TOSEC-v2012-07-13_CM).dat, platform_id: FUJITSU_FMT
Sep 04 17:54:32.442 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - CD - Homebrew - Demos (TOSEC-v2012-07-22_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - CD - Homebrew - Demos (TOSEC-v2012-07-22_CM).dat, platform_id: FUJITSU_FMT
Sep 04 17:54:32.442 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - CD - Homebrew - Games (TOSEC-v2012-07-22_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - CD - Homebrew - Games (TOSEC-v2012-07-22_CM).dat, platform_id: FUJITSU_FMT
Sep 04 17:54:32.443 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Firmware (TOSEC-v2011-02-26_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Firmware (TOSEC-v2011-02-26_CM).dat, platform_id: FUJITSU_FMT
Sep 04 17:54:32.450 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Games - [BIN] (TOSEC-v2020-07-12_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Games - [BIN] (TOSEC-v2020-07-12_CM).dat, platform_id: FUJITSU_FMT
Sep 04 17:54:32.453 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Games - [D77] (TOSEC-v2024-07-03_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Games - [D77] (TOSEC-v2024-07-03_CM).dat, platform_id: FUJITSU_FMT
Sep 04 17:54:32.457 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Games - [D88] (TOSEC-v2011-02-07_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Games - [D88] (TOSEC-v2011-02-07_CM).dat, platform_id: FUJITSU_FMT
