Apr 04 00:25:36.196 INFO NINTENDO_GB: dats/NINTENDO_GB/OpenGBx.GB.dat, path: dats/NINTENDO_GB/OpenGBx.GB.dat, platform_id: NINTENDO_GB
Apr 04 00:25:36.344 INFO ATARI_JAGUAR_CD: dats/ATARI_JAGUAR_CD/Atari Jaguar CD - Homebrew - Games - [NRG] (TOSEC-v2012-07-22_CM).dat, path: dats/ATARI_JAGUAR_CD/Atari Jaguar CD - Homebrew - Games - [NRG] (TOSEC-v2012-07-22_CM).dat, platform_id: ATARI_JAGUAR_CD
Apr 04 00:25:36.344 INFO ATARI_JAGUAR_CD: dats/ATARI_JAGUAR_CD/Atari Jaguar CD - Homebrew - Games - [CDI] (TOSEC-v2012-07-22_CM).dat, path: dats/ATARI_JAGUAR_CD/Atari Jaguar CD - Homebrew - Games - [CDI] (TOSEC-v2012-07-22_CM).dat, platform_id: ATARI_JAGUAR_CD
Apr 04 00:25:36.345 INFO ATARI_JAGUAR_CD: dats/ATARI_JAGUAR_CD/Atari Jaguar CD - Games (TOSEC-v2012-07-17_CM).dat, path: dats/ATARI_JAGUAR_CD/Atari Jaguar CD - Games (TOSEC-v2012-07-17_CM).dat, platform_id: ATARI_JAGUAR_CD
Apr 04 00:25:36.347 INFO ATARI_JAGUAR_CD: dats/ATARI_JAGUAR_CD/Atari - Jaguar CD Interactive Multimedia System - Datfile (13) (2020-11-29 03-43-51).dat, path: dats/ATARI_JAGUAR_CD/Atari - Jaguar CD Interactive Multimedia System - Datfile (13) (2020-11-29 03-43-51).dat, platform_id: ATARI_JAGUAR_CD
Apr 04 00:25:36.349 INFO ATARI_JAGUAR_CD: dats/ATARI_JAGUAR_CD/Atari Jaguar CD - Homebrew - Games - [BIN] (TOSEC-v2012-07-22_CM).dat, path: dats/ATARI_JAGUAR_CD/Atari Jaguar CD - Homebrew - Games - [BIN] (TOSEC-v2012-07-22_CM).dat, platform_id: ATARI_JAGUAR_CD
Apr 04 00:25:36.364 INFO COLECO_CV: dats/COLECO_CV/OpenCol.dat, path: dats/COLECO_CV/OpenCol.dat, platform_id: COLECO_CV
Apr 04 00:25:36.380 INFO COLECO_CV: dats/COLECO_CV/Coleco ColecoVision - Educational (TOSEC-v2015-05-07_CM).dat, path: dats/COLECO_CV/Coleco ColecoVision - Educational (TOSEC-v2015-05-07_CM).dat, platform_id: COLECO_CV
Apr 04 00:25:36.382 INFO COLECO_CV: dats/COLECO_CV/Coleco ColecoVision - Applications (TOSEC-v2015-05-07_CM).dat, path: dats/COLECO_CV/Coleco ColecoVision - Applications (TOSEC-v2015-05-07_CM).dat, platform_id: COLECO_CV
Apr 04 00:25:36.382 INFO COLECO_CV: dats/COLECO_CV/Coleco ColecoVision - Firmware (TOSEC-v2015-05-07_CM).dat, path: dats/COLECO_CV/Coleco ColecoVision - Firmware (TOSEC-v2015-05-07_CM).dat, platform_id: COLECO_CV
