Aug 16 23:59:13.967 INFO FUJITSU_FMT: dats/FUJITSU_FMT/Fujitsu FM Towns - Games - [HDM] (TOSEC-v2018-07-01_CM).dat, path: dats/FUJITSU_FMT/Fujitsu FM Towns - Games - [HDM] (TOSEC-v2018-07-01_CM).dat, platform_id: FUJITSU_FMT
Aug 16 23:59:13.971 INFO FUJITSU_FMT: dats/FUJITSU_FMT/Fujitsu FM Towns - Firmware (TOSEC-v2011-02-26_CM).dat, path: dats/FUJITSU_FMT/Fujitsu FM Towns - Firmware (TOSEC-v2011-02-26_CM).dat, platform_id: FUJITSU_FMT
Aug 16 23:59:13.972 INFO FUJITSU_FMT: dats/FUJITSU_FMT/Fujitsu FM Towns - Applications - [BIN] (TOSEC-v2018-07-01_CM).dat, path: dats/FUJITSU_FMT/Fujitsu FM Towns - Applications - [BIN] (TOSEC-v2018-07-01_CM).dat, platform_id: FUJITSU_FMT
Aug 16 23:59:13.972 INFO FUJITSU_FMT: dats/FUJITSU_FMT/Fujitsu FM Towns - CD - Compilations (TOSEC-v2012-07-13_CM).dat, path: dats/FUJITSU_FMT/Fujitsu FM Towns - CD - Compilations (TOSEC-v2012-07-13_CM).dat, platform_id: FUJITSU_FMT
Aug 16 23:59:13.973 INFO FUJITSU_FMT: dats/FUJITSU_FMT/Fujitsu FM Towns - Operating Systems - [BIN] (TOSEC-v2011-02-07_CM).dat, path: dats/FUJITSU_FMT/Fujitsu FM Towns - Operating Systems - [BIN] (TOSEC-v2011-02-07_CM).dat, platform_id: FUJITSU_FMT
Aug 16 23:59:13.973 INFO FUJITSU_FMT: dats/FUJITSU_FMT/Fujitsu FM Towns - CD - Homebrew - Games (TOSEC-v2012-07-22_CM).dat, path: dats/FUJITSU_FMT/Fujitsu FM Towns - CD - Homebrew - Games (TOSEC-v2012-07-22_CM).dat, platform_id: FUJITSU_FMT
Aug 16 23:59:13.975 INFO FUJITSU_FMT: dats/FUJITSU_FMT/Fujitsu FM Towns - Games - [D88] (TOSEC-v2011-02-07_CM).dat, path: dats/FUJITSU_FMT/Fujitsu FM Towns - Games - [D88] (TOSEC-v2011-02-07_CM).dat, platform_id: FUJITSU_FMT
Aug 16 23:59:13.977 INFO FUJITSU_FMT: dats/FUJITSU_FMT/Fujitsu FM Towns - Operating Systems - [HDM] (TOSEC-v2018-07-01_CM).dat, path: dats/FUJITSU_FMT/Fujitsu FM Towns - Operating Systems - [HDM] (TOSEC-v2018-07-01_CM).dat, platform_id: FUJITSU_FMT
Aug 16 23:59:13.977 INFO FUJITSU_FMT: dats/FUJITSU_FMT/Fujitsu FM Towns - Applications - [HDM] (TOSEC-v2018-07-01_CM).dat, path: dats/FUJITSU_FMT/Fujitsu FM Towns - Applications - [HDM] (TOSEC-v2018-07-01_CM).dat, platform_id: FUJITSU_FMT
Aug 16 23:59:13.977 INFO FUJITSU_FMT: dats/FUJITSU_FMT/Fujitsu FM Towns - Applications - [D88] (TOSEC-v2011-02-07_CM).dat, path: dats/FUJITSU_FMT/Fujitsu FM Towns - Applications - [D88] (TOSEC-v2011-02-07_CM).dat, platform_id: FUJITSU_FMT
Aug 16 23:59:14.008 INFO FUJITSU_FMT: dats/FUJITSU_FMT/Fujitsu - FM-Towns - Datfile (336) (2020-08-10 22-55-56).dat, path: dats/FUJITSU_FMT/Fujitsu - FM-Towns - Datfile (336) (2020-08-10 22-55-56).dat, platform_id: FUJITSU_FMT
Aug 16 23:59:14.055 INFO NINTENDO_N3DS: dats/NINTENDO_N3DS/Nintendo - New Nintendo 3DS (Decrypted) (20200812-102545).dat, path: dats/NINTENDO_N3DS/Nintendo - New Nintendo 3DS (Decrypted) (20200812-102545).dat, platform_id: NINTENDO_N3DS
Aug 16 23:59:14.055 INFO NINTENDO_N3DS: dats/NINTENDO_N3DS/Nintendo - New Nintendo 3DS (Encrypted) (20200812-102545).dat, path: dats/NINTENDO_N3DS/Nintendo - New Nintendo 3DS (Encrypted) (20200812-102545).dat, platform_id: NINTENDO_N3DS
Aug 16 23:59:14.056 INFO SNK_NGPC: dats/SNK_NGPC/SNK Neo-Geo Pocket Color - Multimedia (TOSEC-v2011-08-13_CM).dat, path: dats/SNK_NGPC/SNK Neo-Geo Pocket Color - Multimedia (TOSEC-v2011-08-13_CM).dat, platform_id: SNK_NGPC
Aug 16 23:59:14.057 INFO SNK_NGPC: dats/SNK_NGPC/SNK Neo-Geo Pocket Color - Applications (TOSEC-v2011-08-13_CM).dat, path: dats/SNK_NGPC/SNK Neo-Geo Pocket Color - Applications (TOSEC-v2011-08-13_CM).dat, platform_id: SNK_NGPC
Aug 16 23:59:14.057 INFO SNK_NGPC: dats/SNK_NGPC/SNK Neo-Geo Pocket Color - Samplers (TOSEC-v2011-08-13_CM).dat, path: dats/SNK_NGPC/SNK Neo-Geo Pocket Color - Samplers (TOSEC-v2011-08-13_CM).dat, platform_id: SNK_NGPC
Aug 16 23:59:14.058 INFO SNK_NGPC: dats/SNK_NGPC/SNK - Neo Geo Pocket Color (20200730-010130).dat, path: dats/SNK_NGPC/SNK - Neo Geo Pocket Color (20200730-010130).dat, platform_id: SNK_NGPC
