Aug 13 21:17:26.765 INFO GCE_VECTREX: dats\GCE_VECTREX\GCE Vectrex - Firmware (TOSEC-v2012-02-27_CM).dat, path: dats\GCE_VECTREX\GCE Vectrex - Firmware (TOSEC-v2012-02-27_CM).dat, platform_id: GCE_VECTREX
Aug 13 21:17:26.767 INFO GCE_VECTREX: dats\GCE_VECTREX\GCE Vectrex - Games (TOSEC-v2022-06-08_CM).dat, path: dats\GCE_VECTREX\GCE Vectrex - Games (TOSEC-v2022-06-08_CM).dat, platform_id: GCE_VECTREX
Aug 13 21:17:26.786 INFO GCE_VECTREX: dats\GCE_VECTREX\OpenVECT.dat, path: dats\GCE_VECTREX\OpenVECT.dat, platform_id: GCE_VECTREX
Aug 13 21:17:26.799 INFO MAGNAVOX_O2: dats\MAGNAVOX_O2\Magnavox Odyssey2 - Applications (TOSEC-v2011-02-22_CM).dat, path: dats\MAGNAVOX_O2\Magnavox Odyssey2 - Applications (TOSEC-v2011-02-22_CM).dat, platform_id: MAGNAVOX_O2
Aug 13 21:17:26.800 INFO MAGNAVOX_O2: dats\MAGNAVOX_O2\Magnavox Odyssey2 - Educational (TOSEC-v2011-02-22_CM).dat, path: dats\MAGNAVOX_O2\Magnavox Odyssey2 - Educational (TOSEC-v2011-02-22_CM).dat, platform_id: MAGNAVOX_O2
Aug 13 21:17:26.802 INFO MAGNAVOX_O2: dats\MAGNAVOX_O2\Magnavox Odyssey2 - Firmware (TOSEC-v2011-02-22_CM).dat, path: dats\MAGNAVOX_O2\Magnavox Odyssey2 - Firmware (TOSEC-v2011-02-22_CM).dat, platform_id: MAGNAVOX_O2
Aug 13 21:17:26.804 INFO MAGNAVOX_O2: dats\MAGNAVOX_O2\Magnavox Odyssey2 - Games (TOSEC-v2021-07-25_CM).dat, path: dats\MAGNAVOX_O2\Magnavox Odyssey2 - Games (TOSEC-v2021-07-25_CM).dat, platform_id: MAGNAVOX_O2
Aug 13 21:17:26.814 INFO MATTEL_INT: dats\MATTEL_INT\Mattel - Intellivision (20220809-172702).dat, path: dats\MATTEL_INT\Mattel - Intellivision (20220809-172702).dat, platform_id: MATTEL_INT
Aug 13 21:17:26.823 INFO MATTEL_INT: dats\MATTEL_INT\Mattel Intellivision - Applications (TOSEC-v2018-07-01_CM).dat, path: dats\MATTEL_INT\Mattel Intellivision - Applications (TOSEC-v2018-07-01_CM).dat, platform_id: MATTEL_INT
Aug 13 21:17:26.824 INFO MATTEL_INT: dats\MATTEL_INT\Mattel Intellivision - Demos - [BIN] (TOSEC-v2018-07-01_CM).dat, path: dats\MATTEL_INT\Mattel Intellivision - Demos - [BIN] (TOSEC-v2018-07-01_CM).dat, platform_id: MATTEL_INT
Aug 13 21:17:26.829 INFO MATTEL_INT: dats\MATTEL_INT\Mattel Intellivision - Demos - [Multipart] (TOSEC-v2018-07-01_CM).dat, path: dats\MATTEL_INT\Mattel Intellivision - Demos - [Multipart] (TOSEC-v2018-07-01_CM).dat, platform_id: MATTEL_INT
Aug 13 21:17:26.830 INFO MATTEL_INT: dats\MATTEL_INT\Mattel Intellivision - Educational (TOSEC-v2021-07-25_CM).dat, path: dats\MATTEL_INT\Mattel Intellivision - Educational (TOSEC-v2021-07-25_CM).dat, platform_id: MATTEL_INT
Aug 13 21:17:26.832 INFO MATTEL_INT: dats\MATTEL_INT\Mattel Intellivision - Firmware - [BIN] (TOSEC-v2021-07-25_CM).dat, path: dats\MATTEL_INT\Mattel Intellivision - Firmware - [BIN] (TOSEC-v2021-07-25_CM).dat, platform_id: MATTEL_INT
Aug 13 21:17:26.833 INFO MATTEL_INT: dats\MATTEL_INT\Mattel Intellivision - Firmware - [Multipart] (TOSEC-v2018-07-01_CM).dat, path: dats\MATTEL_INT\Mattel Intellivision - Firmware - [Multipart] (TOSEC-v2018-07-01_CM).dat, platform_id: MATTEL_INT
Aug 13 21:17:26.836 INFO MATTEL_INT: dats\MATTEL_INT\Mattel Intellivision - Games - [BIN] (TOSEC-v2022-06-08_CM).dat, path: dats\MATTEL_INT\Mattel Intellivision - Games - [BIN] (TOSEC-v2022-06-08_CM).dat, platform_id: MATTEL_INT
Aug 13 21:17:26.847 INFO MATTEL_INT: dats\MATTEL_INT\Mattel Intellivision - Games - [Multipart] (TOSEC-v2018-07-01_CM).dat, path: dats\MATTEL_INT\Mattel Intellivision - Games - [Multipart] (TOSEC-v2018-07-01_CM).dat, platform_id: MATTEL_INT
Aug 13 21:17:26.856 INFO MATTEL_INT: dats\MATTEL_INT\OpenINTV.dat, path: dats\MATTEL_INT\OpenINTV.dat, platform_id: MATTEL_INT
Aug 13 21:17:26.898 INFO MICROSOFT_X360: dats\MICROSOFT_X360\Microsoft - Xbox 360 - Datfile (2951) (2022-08-08 08-57-10).dat, path: dats\MICROSOFT_X360\Microsoft - Xbox 360 - Datfile (2951) (2022-08-08 08-57-10).dat, platform_id: MICROSOFT_X360
Aug 13 21:17:26.969 INFO MICROSOFT_X360: dats\MICROSOFT_X360\Non-Redump - Microsoft - Xbox 360 (20220812-142858).dat, path: dats\MICROSOFT_X360\Non-Redump - Microsoft - Xbox 360 (20220812-142858).dat, platform_id: MICROSOFT_X360
